frame_number,center_x,center_y,direction_x,direction_y,velocity_x,velocity_y,blink
1,283,209,0,0,0,0,0
2,284,210,1,1,30,30,0
3,266,203,-18,-7,-540,-210,0
4,253,199,-13,-4,-390,-120,0
5,253,199,0,0,0,0,0
6,255,200,2,1,60,30,0
7,225,191,-30,-9,-900,-270,0
8,212,190,-13,-1,-390,-30,0
9,214,189,2,-1,60,-30,0
10,213,191,-1,2,-30,60,0
11,214,191,1,0,30,0,0
12,214,192,0,1,0,30,0
13,215,192,1,0,30,0,0
14,215,191,0,-1,0,-30,0
15,207,209,-8,18,-240,540,0
16,205,228,-2,19,-60,570,0
17,205,227,0,-1,0,-30,0
18,206,225,1,-2,30,-60,0
19,206,226,0,1,0,30,0
20,206,226,0,0,0,0,0
21,205,226,-1,0,-30,0,0
22,204,226,-1,0,-30,0,0
23,204,226,0,0,0,0,0
24,204,227,0,1,0,30,0
25,194,231,-10,4,-300,120,0
26,169,256,-25,25,-750,750,0
27,164,275,-5,19,-150,570,0
28,164,276,0,1,0,30,0
29,166,275,2,-1,60,-30,0
30,194,273,28,-2,840,-60,0
31,196,274,2,1,60,30,0
32,196,273,0,-1,0,-30,0
33,196,274,0,1,0,30,0
34,197,272,1,-2,30,-60,0
35,251,248,54,-24,1620,-720,0
36,250,250,-1,2,-30,60,0
37,250,251,0,1,0,30,0
38,251,251,1,0,30,0,0
39,254,243,3,-8,90,-240,0
40,252,231,-2,-12,-60,-360,0
41,250,221,-2,-10,-60,-300,0
42,251,222,1,1,30,30,0
43,250,223,-1,1,-30,30,0
44,259,219,9,-4,270,-120,0
45,298,211,39,-8,1170,-240,0
46,332,208,34,-3,1020,-90,0
47,361,207,29,-1,870,-30,0
48,358,208,-3,1,-90,30,0
49,357,207,-1,-1,-30,-30,0
50,356,208,-1,1,-30,30,0
51,355,209,-1,1,-30,30,0
52,355,208,0,-1,0,-30,0
53,354,209,-1,1,-30,30,0
54,354,211,0,2,0,60,0
55,340,236,-14,25,-420,750,0
56,341,235,1,-1,30,-30,0
57,342,235,1,0,30,0,0
58,342,235,0,0,0,0,0
59,343,236,1,1,30,30,0
60,345,236,2,0,60,0,0
61,356,247,11,11,330,330,0
62,355,258,-1,11,-30,330,0
63,353,279,-2,21,-60,630,0
64,350,283,-3,4,-90,120,0
65,349,284,-1,1,-30,30,0
66,349,284,0,0,0,0,0
67,346,283,-3,-1,-90,-30,0
68,297,276,-49,-7,-1470,-210,0
69,256,266,-41,-10,-1230,-300,0
70,243,262,-13,-4,-390,-120,0
71,247,263,4,1,120,30,0
72,248,264,1,1,30,30,0
73,249,266,1,2,30,60,0
74,250,266,1,0,30,0,0
75,215,269,-35,3,-1050,90,0
76,192,271,-23,2,-690,60,0
77,187,273,-5,2,-150,60,0
78,187,274,0,1,0,30,0
79,157,283,-30,9,-900,270,0
80,157,284,0,1,0,30,0
81,157,284,0,0,0,0,0
82,159,284,2,0,60,0,0
83,159,284,0,0,0,0,0
84,159,284,0,0,0,0,0
85,164,284,5,0,150,0,0
86,183,285,19,1,570,30,0
87,182,285,-1,0,-30,0,0
88,182,285,0,0,0,0,0
89,183,287,1,2,30,60,0
90,198,287,15,0,450,0,0
91,260,279,62,-8,1860,-240,0
92,258,279,-2,0,-60,0,0
93,258,282,0,3,0,90,0
94,258,282,0,0,0,0,0
95,259,281,1,-1,30,-30,0
96,257,280,-2,-1,-60,-30,0
97,258,280,1,0,30,0,0
98,259,282,1,2,30,60,0
99,277,279,18,-3,540,-90,0
100,315,274,38,-5,1140,-150,0
101,340,271,25,-3,750,-90,0
102,340,271,0,0,0,0,0
103,339,272,-1,1,-30,30,0
104,339,272,0,0,0,0,0
105,339,273,0,1,0,30,0
106,339,273,0,0,0,0,0
107,356,272,17,-1,510,-30,0
108,378,272,22,0,660,0,0
109,531,204,153,-68,4590,-2040,0
110,522,200,-9,-4,-270,-120,0
111,513,197,-9,-3,-270,-90,1
112,504,193,-9,-4,-270,-120,1
113,495,190,-9,-3,-270,-90,1
114,487,187,-8,-3,-240,-90,1
115,478,184,-9,-3,-270,-90,1
116,471,183,-7,-1,-210,-30,1
117,467,183,-4,0,-120,0,1
118,463,183,-4,0,-120,0,0
119,459,183,-4,0,-120,0,0
120,454,182,-5,-1,-150,-30,0
121,451,181,-3,-1,-90,-30,0
122,444,180,-7,-1,-210,-30,0
123,438,174,-6,-6,-180,-180,0
124,429,148,-9,-26,-270,-780,0
125,426,144,-3,-4,-90,-120,0
126,426,143,0,-1,0,-30,0
127,425,142,-1,-1,-30,-30,0
128,425,140,0,-2,0,-60,0
129,425,141,0,1,0,30,0
130,426,141,1,0,30,0,0
131,424,140,-2,-1,-60,-30,0
132,423,139,-1,-1,-30,-30,0
133,414,160,-9,21,-270,630,0
134,419,162,5,2,150,60,0
135,421,161,2,-1,60,-30,0
136,423,161,2,0,60,0,0
137,424,161,1,0,30,0,0
138,426,161,2,0,60,0,0
139,425,168,-1,7,-30,210,0
140,434,202,9,34,270,1020,0
141,441,217,7,15,210,450,0
142,441,211,0,-6,0,-180,0
143,443,211,2,0,60,0,0
144,444,212,1,1,30,30,0
145,446,213,2,1,60,30,0
146,447,212,1,-1,30,-30,0
147,450,212,3,0,90,0,0
148,455,213,5,1,150,30,0
149,462,215,7,2,210,60,0
150,468,216,6,1,180,30,0
151,475,217,7,1,210,30,0
152,482,218,7,1,210,30,0
153,489,219,7,1,210,30,0
154,498,221,9,2,270,60,0
155,507,223,9,2,270,60,0
156,517,226,10,3,300,90,0
157,524,230,7,4,210,120,0
158,532,233,8,3,240,90,0
159,541,236,9,3,270,90,0
160,550,240,9,4,270,120,0
161,558,243,8,3,240,90,0
162,564,245,6,2,180,60,0
163,569,246,5,1,150,30,0
164,573,247,4,1,120,30,0
165,578,249,5,2,150,60,0
166,581,249,3,0,90,0,0
167,583,247,2,-2,60,-60,0
168,585,248,2,1,60,30,0
169,586,244,1,-4,30,-120,0
170,585,246,-1,2,-30,60,0
171,586,242,1,-4,30,-120,0
172,585,245,-1,3,-30,90,0
173,585,242,0,-3,0,-90,0
174,586,242,1,0,30,0,0
175,585,242,-1,0,-30,0,0
